,0,Cluster
783,720575940609574606,0
784,720575940609580664,0
785,720575940609586545,7
786,720575940609593806,21
787,720575940609594574,4
788,720575940609598475,6
789,720575940609601033,2
790,720575940609602936,2
791,720575940609607890,13
792,720575940609619666,3
793,720575940609633582,1
794,720575940609641284,1
795,720575940609643017,6
796,720575940609643273,1
797,720575940609653572,12
798,720575940609658377,5
799,720575940609660370,0
800,720575940609662562,7
801,720575940609664722,17
802,720575940609676642,6
803,720575940609681198,18
804,720575940609682756,0
805,720575940609695683,28
806,720575940609711113,0
807,720575940609713710,2
808,720575940609715524,3
809,720575940609721464,8
810,720575940609722436,8
811,720575940609733582,2
812,720575940609735363,4
813,720575940609739669,12
814,720575940609739733,19
815,720575940609750482,4
816,720575940609752018,9
817,720575940609754926,17
818,720575940609765333,29
819,720575940609777198,0
820,720575940609778018,1
821,720575940609779465,14
822,720575940609781880,20
823,720575940609783819,2
824,720575940609799470,13
825,720575940609801570,0
826,720575940609803384,3
827,720575940609806126,4
828,720575940609808905,10
829,720575940609813513,16
830,720575940609814281,1
831,720575940609819512,11
832,720575940609824369,4
833,720575940609825230,19
834,720575940609826168,3
835,720575940609831214,17
836,720575940609834308,0
837,720575940609855698,4
838,720575940609857486,9
839,720575940609865227,0
840,720575940609876036,7
841,720575940609881611,1
842,720575940609895748,20
843,720575940609897739,14
844,720575940609905454,0
845,720575940609910229,10
846,720575940609910795,2
847,720575940609915541,2
848,720575940609927653,8
849,720575940609931128,1
850,720575940609935918,6
851,720575940609940629,0
852,720575940609941145,7
853,720575940609942062,0
854,720575940609943928,5
855,720575940609948514,12
856,720575940609957315,12
857,720575940609959637,3
858,720575940609961841,18
859,720575940609968858,6
860,720575940609970090,0
861,720575940609970394,9
862,720575940609979285,5
863,720575940609984881,1
864,720575940610002296,2
865,720575940610005828,7
866,720575940610008132,6
867,720575940610010521,4
868,720575940610013157,14
869,720575940610031578,12
870,720575940610033394,4
871,720575940610040538,7
872,720575940610043346,1
873,720575940610047194,14
874,720575940610053678,20
